x1	y1	z1
PTA	Aamp	0.1
PTA	Abat	11.0
PTA	Abca1	2.1
PTA	Abca2	0.5
PTA	Abcc5	2.1
PTA	Abcd2	4.4
PTA	Abcd3	6.1
PTA	Abce1	1.1
PTA	Abhd11	0.1
PTA	Abhd12	0.9
PTA	Abhd14b	0.2
PTA	Abhd3	2.6
PTA	Abhd4	1.2
PTA	Abhd5	0.3
PTA	Abhd6	0.3
PTA	Abi1	29.1
PTA	Abi2	12.5
PTA	Abr	9.0
PTA	Acaa2	11.9
PTA	Acadl	0.1
PTA	Acadm	16.0
PTA	Acadsb	1.2
PTA	Acadvl	3.5
PTA	Acat1	6.9
PTA	Acat2	0.7
PTA	Acbd3	1.0
PTA	Acbd5	6.8
PTA	Acly	2.3
PTA	Aco1	1.7
PTA	Aco2	9.9
PTA	Acot1	1.1
PTA	Acot11	0.6
PTA	Acot13	4.8
PTA	Acox1	5.2
PTA	Acp2	3.5
PTA	Acsbg1	16.6
PTA	Acsl3	13.1
PTA	Acsl6	15.7
PTA	Acss1	3.6
PTA	Acss2	0.1
PTA	Actb	227.3
PTA	Actg1	69.6
PTA	Actr10	1.0
PTA	Actr1a	4.8
PTA	Actr1b	2.0
PTA	Actr2	2.1
PTA	Actr3	2.9
PTA	Actr3b	0.4
PTA	Acyp2	6.4
PTA	Adam23	0.1
PTA	Adcy2	5.8
PTA	Adcyap1r1	5.2
PTA	Add1	9.9
PTA	Add3	36.8
PTA	Adh5	4.7
PTA	Adhfe1	1.5
PTA	Adi1	7.0
PTA	Adipor1	12.3
PTA	Adk	4.3
PTA	Adnp	11.1
PTA	Adora2b	3.4
PTA	Adprh	0.1
PTA	Adrbk2	0.8
PTA	Aes	4.1
PTA	Aff4	8.9
PTA	Afg3l2	0.5
PTA	Aga	3.6
PTA	Aggf1	1.7
PTA	Agl	1.8
PTA	Agmo	0.1
PTA	Agpat1	0.6
PTA	Agpat3	1.7
PTA	Agpat5	2.9
PTA	Agt	19.7
PTA	Agtpbp1	1.0
PTA	Agxt2l1	91.3
PTA	Ahcyl1	128.0
PTA	Ahcyl2	35.6
PTA	Ahsa1	2.8
PTA	Aifm1	1.1
PTA	Aifm3	3.8
PTA	Aimp1	0.1
PTA	Ak2	2.3
PTA	Ak3	4.6
PTA	Ak4	16.1
PTA	Akap11	11.9
PTA	Akap7	0.5
PTA	Akap8	0.5
PTA	Akap9	4.1
PTA	Akirin1	1.9
PTA	Akirin2	1.7
PTA	Akr1b10	0.1
PTA	Akt2	0.3
PTA	Akt3	5.3
PTA	Aktip	1.7
PTA	Alcam	14.3
PTA	Aldh1a1	1.3
PTA	Aldh1l1	2.1
PTA	Aldh2	9.1
PTA	Aldh3a2	11.4
PTA	Aldh5a1	1.9
PTA	Aldh6a1	14.2
PTA	Aldh7a1	2.8
PTA	Aldh9a1	15.0
PTA	Aldoa	16.9
PTA	Aldoc	220.4
PTA	Alg11	1.2
PTA	Alg2	10.8
PTA	Alg3	0.9
PTA	Alg5	0.1
PTA	Alkbh3	0.1
PTA	Alkbh7	0.1
PTA	Alpl	0.1
PTA	Amfr	2.6
PTA	Amn1	0.9
PTA	Amot	10.0
PTA	Anapc13	2.5
PTA	Anapc16	3.4
PTA	Anapc5	4.0
PTA	Angel2	0.1
PTA	Ank2	18.3
PTA	Ankhd1	4.1
PTA	Ankle2	8.3
PTA	Ankmy2	1.5
PTA	Ankrd11	0.4
PTA	Ankrd13c	0.2
PTA	Ankrd17	10.4
PTA	Ankrd28	1.4
PTA	Ankrd40	33.1
PTA	Ankrd46	3.5
PTA	Ankrd6	0.1
PTA	Anp32a	6.1
PTA	Anp32b	2.5
PTA	Anp32e	2.7
PTA	Antxr1	5.5
PTA	Anxa5	7.4
PTA	Anxa6	0.8
PTA	Ap1g1	7.4
PTA	Ap2b1	14.7
PTA	Ap3b1	4.8
PTA	Ap3d1	0.7
PTA	Ap3m1	9.1
PTA	Ap3s1	0.2
PTA	Ap4s1	0.1
PTA	Apba2	0.2
PTA	Apc	39.8
PTA	Api5	1.8
PTA	Apip	2.8
PTA	Apln	0.2
PTA	Aplp1	4.4
PTA	Aplp2	41.3
PTA	Apoa1bp	3.1
PTA	Apoe	0.3
PTA	Appbp2	0.6
PTA	Appl2	24.1
PTA	Aqp4	351.9
PTA	Araf	4.2
PTA	Arap2	4.5
PTA	Arcn1	9.7
PTA	Arf1	26.6
PTA	Arf3	6.1
PTA	Arf4	0.6
PTA	Arfgef1	3.9
PTA	Arfip1	1.5
PTA	Arglu1	3.4
PTA	Arhgap12	3.0
PTA	Arhgap21	26.5
PTA	Arhgap32	7.6
PTA	Arhgap5	23.2
PTA	Arhgdia	0.3
PTA	Arhgef12	13.3
PTA	Arhgef26	6.9
PTA	Arhgef4	1.9
PTA	Arhgef9	9.2
PTA	Arid1a	4.0
PTA	Arid4b	1.0
PTA	Arih1	11.1
PTA	Arl2	0.1
PTA	Arl2bp	19.0
PTA	Arl3	2.5
PTA	Arl5a	1.7
PTA	Arl6ip1	63.7
PTA	Arl6ip4	1.5
PTA	Arl8a	3.5
PTA	Arl8b	17.4
PTA	Armc1	1.6
PTA	Armc8	1.8
PTA	Armcx3	0.2
PTA	Arnt2	6.0
PTA	Arpc1a	0.4
PTA	Arpc2	8.3
PTA	Arpc5	0.7
PTA	Arpc5l	0.3
PTA	Arpp21	0.3
PTA	Arrb1	7.1
PTA	Arsb	2.6
PTA	As3mt	1.7
PTA	Asah1	6.1
PTA	Asap2	1.6
PTA	Asb8	4.8
PTA	Asf1a	2.5
PTA	Ash1l	3.5
PTA	Asna1	0.1
PTA	Asph	28.0
PTA	Asrgl1	11.1
PTA	Astn1	14.2
PTA	Atad1	3.7
PTA	Atat1	0.2
PTA	Ate1	0.1
PTA	Atf1	0.8
PTA	Atf2	17.3
PTA	Atf4	5.6
PTA	Atf7ip	20.1
PTA	Atg3	4.9
PTA	Atl2	1.5
PTA	Atl3	2.4
PTA	Atox1	9.0
PTA	Atp11b	1.3
PTA	Atp13a4	18.4
PTA	Atp1a2	94.6
PTA	Atp1b1	0.1
PTA	Atp1b2	559.3
PTA	Atp1b3	0.7
PTA	Atp2a2	25.4
PTA	Atp2b2	2.6
PTA	Atp2c1	9.7
PTA	Atp5a1	64.4
PTA	Atp5b	66.5
PTA	Atp5c1	27.2
PTA	Atp5d	0.8
PTA	Atp5e	76.6
PTA	Atp5f1	11.4
PTA	Atp5g1	0.1
PTA	Atp5g2	2.4
PTA	Atp5g3	13.8
PTA	Atp5h	15.1
PTA	Atp5j	23.7
PTA	Atp5j2	32.3
PTA	Atp5l	17.4
PTA	Atp5o	50.9
PTA	Atp6ap1	4.1
PTA	Atp6ap2	2.5
PTA	Atp6v0a1	3.5
PTA	Atp6v0b	0.1
PTA	Atp6v0d1	3.5
PTA	Atp6v0e2	6.8
PTA	Atp6v1a	4.3
PTA	Atp6v1b2	14.1
PTA	Atp6v1c1	0.5
PTA	Atp6v1d	18.8
PTA	Atp6v1e1	16.2
PTA	Atp6v1f	6.6
PTA	Atp6v1g1	2.5
PTA	Atp6v1g2	1.0
PTA	Atp6v1h	2.6
PTA	Atp8a1	2.5
PTA	Atpif1	12.1
PTA	Atrn	4.6
PTA	Atrx	1.4
PTA	Atxn10	3.0
PTA	Atxn2	11.6
PTA	Atxn2l	2.3
PTA	Atxn7l3b	4.6
PTA	Aurkaip1	1.1
PTA	Axl	6.6
PTA	Azin1	4.3
PTA	B2m	39.7
PTA	B3galt1	1.2
PTA	B3galtl	3.5
PTA	B3gnt1	3.4
PTA	Baalc	57.8
PTA	Bag1	0.3
PTA	Bai3	3.6
PTA	Baz1b	2.4
PTA	Bbip1	0.7
PTA	Bbs2	9.5
PTA	Bcan	14.1
PTA	Bcap29	1.0
PTA	Bcap31	2.0
PTA	Bcar3	0.9
PTA	Bcas2	4.0
PTA	Bccip	1.1
PTA	Bckdhb	4.0
PTA	Bcl10	0.1
PTA	Bcl2	1.0
PTA	Bcl2l2	0.7
PTA	Bcl6	9.6
PTA	Bclaf1	6.3
PTA	Becn1	0.5
PTA	Bet1	2.5
PTA	Bhlhe40	10.9
PTA	Bicd1	1.1
PTA	Bicd2	0.5
PTA	Blcap	28.4
PTA	Bloc1s1	0.1
PTA	Bmp2k	41.3
PTA	Bmpr1a	4.4
PTA	Bmpr1b	9.8
PTA	Bmpr2	7.4
PTA	Bnip2	0.3
PTA	Bnip3l	3.9
PTA	Bod1	0.3
PTA	Bola2	0.7
PTA	Bola3	5.8
PTA	Bpgm	0.1
PTA	Bphl	0.3
PTA	Bpnt1	0.3
PTA	Brcc3	0.2
PTA	Brd2	0.7
PTA	Brd4	6.6
PTA	Brd7	0.7
PTA	Bre	5.5
PTA	Bri3	5.9
PTA	Brp44	3.5
PTA	Brp44l	25.6
PTA	Brwd1	3.0
PTA	Bsg	6.3
PTA	Btbd1	7.4
PTA	Btbd17	0.1
PTA	Btd	0.1
PTA	Btf3l4	2.1
PTA	Btg1	0.7
PTA	Btg2	0.9
PTA	Bub3	1.4
PTA	Bud31	1.6
PTA	Bzw1	2.1
PTA	C1galt1c1	0.2
PTA	C1qbp	20.5
PTA	Cab39	3.0
PTA	Cables1	7.7
PTA	Cachd1	4.1
PTA	Cacng7	1.4
PTA	Cadm1	38.1
PTA	Cadm2	9.1
PTA	Calcoco1	3.0
PTA	Calm1	54.7
PTA	Calm2	52.8
PTA	Calm3	4.9
PTA	Calr	20.3
PTA	Calu	8.7
PTA	Camk2a	0.1
PTA	Camk2d	1.2
PTA	Camk2g	19.0
PTA	Camk2n1	51.6
PTA	Camta2	0.2
PTA	Cand1	6.8
PTA	Canx	26.0
PTA	Cap1	11.1
PTA	Cap2	0.4
PTA	Capn2	9.1
PTA	Capn7	2.1
PTA	Capns1	46.4
PTA	Caprin1	7.2
PTA	Capza2	2.9
PTA	Capzb	9.6
PTA	Carhsp1	0.4
PTA	Carkd	4.2
PTA	Casc4	13.6
PTA	Cask	0.6
PTA	Caskin1	0.2
PTA	Cat	5.9
PTA	Cbfb	1.0
PTA	Cbl	2.4
PTA	Cbr1	24.2
PTA	Cbr3	0.1
PTA	Cbr4	5.0
PTA	Cbs	4.9
PTA	Cbx3	0.8
PTA	Cbx5	18.1
PTA	Ccar1	9.5
PTA	Ccdc104	1.8
PTA	Ccdc127	2.6
PTA	Ccdc132	2.3
PTA	Ccdc141	0.1
PTA	Ccdc23	6.1
PTA	Ccdc28b	0.1
PTA	Ccdc47	3.1
PTA	Ccdc50	5.4
PTA	Ccdc53	18.8
PTA	Ccdc58	2.5
PTA	Ccdc59	1.4
PTA	Ccdc72	11.5
PTA	Ccdc88a	7.7
PTA	Ccdc90a	5.9
PTA	Ccdc90b	5.5
PTA	Ccnd2	3.6
PTA	Ccndbp1	0.1
PTA	Ccng1	0.7
PTA	Ccni	51.0
PTA	Ccnk	3.3
PTA	Ccnl1	3.7
PTA	Ccnl2	1.0
PTA	Ccnt1	2.3
PTA	Ccny	4.5
PTA	Ccpg1	2.0
PTA	Ccs	0.1
PTA	Cct2	9.2
PTA	Cct3	0.2
PTA	Cct4	0.6
PTA	Cct5	0.9
PTA	Cct6a	1.2
PTA	Cct7	0.8
PTA	Cct8	6.3
PTA	Ccz1	12.5
PTA	Cd164	4.2
PTA	Cd302	2.5
PTA	Cd38	6.9
PTA	Cd47	6.3
PTA	Cd63	14.2
PTA	Cd81	12.3
PTA	Cd9	1.5
PTA	Cd99l2	0.9
PTA	Cdadc1	1.7
PTA	Cdc123	0.1
PTA	Cdc16	1.5
PTA	Cdc23	1.5
PTA	Cdc26	0.1
PTA	Cdc27	6.1
